Country,GDI,Expected Year of Schooling-Female,Expected Year of Schooling-Male,Mean Year of Schooling-Female,Mean Year of Schooling-Male
Switzerland,0.967,16.4,16.6,13.5,14.2
Norway,0.983,18.9,17.5,13.1,12.9
Iceland,0.976,20.3,18.1,13.9,13.7
"Hong Kong, China (SAR)",0.976,17.6,17.0,11.8,12.7
Australia,0.968,21.8,20.3,12.8,12.6
Denmark,0.980,19.3,18.1,13.2,12.8
Sweden,0.988,20.5,18.3,12.8,12.4
Ireland,0.987,19.2,18.6,11.8,11.4
Germany,0.978,17.0,17.0,13.8,14.3
Netherlands,0.968,19.0,18.4,12.4,12.8
Finland,0.989,19.9,18.3,13.0,12.7
Singapore,0.992,16.7,16.4,11.6,12.3
Belgium,0.978,20.7,18.5,12.3,12.4
New Zealand,0.975,20.8,19.7,12.9,13.0
Canada,0.988,16.9,15.9,13.9,13.7
Luxembourg,0.993,14.4,14.4,13.0,13.0
United Kingdom,0.987,17.8,16.8,13.4,13.4
Japan,0.970,15.2,15.2,13.3,13.4
Korea (Republic of),0.944,16.1,16.9,11.9,13.2
United States,1.001,16.9,15.6,13.7,13.6
Israel,0.992,16.7,15.4,13.4,13.3
Malta,0.980,17.4,16.3,12.0,12.4
Slovenia,0.999,18.4,16.9,12.8,12.8
Austria,0.980,16.4,15.6,12.0,12.6
United Arab Emirates,0.953,16.5,15.2,12.5,12.8
Spain,0.986,18.4,17.4,10.5,10.7
France,0.990,16.2,15.5,11.4,11.8
Cyprus,0.972,15.7,15.6,12.4,12.5
Italy,0.970,16.6,15.9,10.6,10.9
Estonia,1.021,16.8,15.1,13.8,13.3
Czechia,0.989,16.8,15.7,12.7,13.0
Greece,0.969,20.1,20.0,11.1,11.7
Poland,1.008,16.8,15.3,13.3,13.0
Bahrain,0.927,17.0,15.9,10.8,11.2
Lithuania,1.030,16.7,15.9,13.6,13.4
Saudi Arabia,0.917,16.2,16.1,10.7,11.7
Portugal,0.994,17.0,16.7,9.6,9.5
Latvia,1.025,16.8,15.6,13.6,12.9
Croatia,0.995,15.9,14.4,11.9,12.5
Chile,0.967,17.0,16.5,10.8,11.0
Qatar,1.019,14.5,12.1,11.6,9.6
Slovakia,0.999,15.0,14.0,12.9,13.0
Hungary,0.987,15.3,14.8,12.1,12.4
Argentina,0.997,19.2,16.6,11.4,10.9
Türkiye,0.937,17.9,18.8,7.9,9.4
Montenegro,0.981,15.6,14.6,11.8,12.6
Kuwait,1.009,17.0,13.9,8.1,6.9
Brunei Darussalam,0.984,14.4,13.5,9.2,9.2
Russian Federation,1.016,16.0,15.6,12.8,12.8
Romania,0.994,14.7,13.8,11.0,11.6
Oman,0.900,15.0,14.5,12.1,11.4
Kazakhstan,0.998,16.0,15.5,12.4,12.3
Trinidad and Tobago,0.985,14.8,14.2,11.7,11.5
Costa Rica,0.996,17.1,16.0,8.9,8.7
Uruguay,1.022,17.3,15.4,9.3,8.7
Belarus,1.011,15.3,15.0,12.2,12.1
Panama,1.017,13.6,12.5,10.8,10.3
Malaysia,0.982,13.8,12.9,10.6,10.7
Georgia,1.007,15.9,15.2,12.9,12.8
Mauritius,0.973,15.9,14.5,10.0,10.9
Serbia,0.982,15.0,13.9,11.0,11.8
Thailand,1.012,16.2,15.6,8.6,8.8
Albania,1.007,15.3,13.7,11.7,10.9
Bulgaria,0.995,14.2,13.6,11.5,11.3
Barbados,1.034,17.7,13.8,10.3,9.1
Sri Lanka,0.949,14.5,13.8,10.8,10.8
Bosnia and Herzegovina,0.940,14.1,13.5,9.8,11.4
Iran (Islamic Republic of),0.880,14.7,14.5,10.6,10.7
Ukraine,1.012,15.0,14.9,11.5,10.7
North Macedonia,0.945,13.9,13.4,9.7,10.8
China,0.984,14.8,13.7,7.3,7.9
Dominican Republic,1.014,15.4,13.6,9.6,9.0
Moldova (Republic of),1.010,14.8,14.1,11.9,11.8
Cuba,0.961,15.1,13.8,12.6,12.4
Peru,0.950,15.2,15.5,9.3,10.5
Armenia,1.001,13.8,12.5,11.3,11.3
Mexico,0.989,15.2,14.5,9.1,9.4
Brazil,0.994,16.0,15.2,8.3,7.9
Colombia,0.984,14.7,14.2,9.0,8.7
Saint Vincent and the Grenadines,0.970,14.9,14.5,10.9,10.7
Maldives,0.925,14.2,11.9,7.1,7.5
Algeria,0.880,15.3,14.0,7.7,8.4
Azerbaijan,0.974,13.6,13.4,10.2,10.9
Tonga,0.965,16.3,15.7,11.5,11.2
Turkmenistan,0.956,13.0,13.4,10.9,11.6
Ecuador,0.980,14.9,14.3,8.8,8.8
Mongolia,1.031,15.6,14.4,9.9,8.8
Egypt,0.882,13.8,13.7,9.8,9.4
Tunisia,0.931,16.5,14.5,6.9,8.0
Fiji,0.931,15.0,14.5,11.0,10.8
Suriname,1.001,14.2,11.9,9.9,9.6
Uzbekistan,0.944,12.4,12.6,11.7,12.1
Jordan,0.887,10.8,10.5,10.1,10.8
Libya,0.975,13.1,12.6,8.5,7.2
Paraguay,0.990,13.6,12.4,8.9,8.9
"Palestine, State of",0.891,14.3,12.5,9.9,10.0
Saint Lucia,1.011,13.4,12.4,8.8,8.3
Guyana,0.978,12.8,12.2,8.7,8.5
South Africa,0.944,14.0,13.3,9.7,12.2
Jamaica,0.990,13.7,13.1,9.7,8.5
Samoa,0.957,13.0,11.9,11.8,11.0
Gabon,0.908,12.6,13.4,7.8,10.5
Lebanon,0.882,11.1,11.5,8.5,8.9
Indonesia,0.941,13.8,13.7,8.2,8.9
Viet Nam,1.002,13.2,12.7,8.0,8.7
Philippines,0.990,13.5,12.8,9.2,8.7
Botswana,0.981,12.4,12.2,10.3,10.4
Bolivia (Plurinational State of),0.964,14.9,15.0,9.2,10.5
Kyrgyzstan,0.966,13.4,13.0,11.6,11.1
Venezuela (Bolivarian Republic of),0.983,13.8,11.8,11.4,10.8
Iraq,0.803,11.5,12.7,7.2,8.4
Tajikistan,0.909,11.2,12.1,10.9,11.8
Belize,0.975,13.3,12.7,9.0,8.7
Morocco,0.861,13.9,14.4,5.0,6.9
El Salvador,0.964,12.7,12.6,6.8,7.6
Nicaragua,0.956,12.7,12.6,7.4,6.8
Bhutan,0.937,13.6,12.8,4.5,5.8
Cabo Verde,0.981,12.8,12.3,6.0,6.6
Bangladesh,0.898,13.0,11.9,6.8,8.0
India,0.849,11.9,11.8,6.3,7.2
Ghana,0.946,12.1,12.0,7.8,9.0
Guatemala,0.917,10.5,10.6,5.2,6.2
Honduras,0.960,10.4,9.9,6.8,7.4
Sao Tome and Principe,0.907,13.5,13.3,5.6,6.8
Namibia,1.004,11.9,11.9,7.5,6.9
Lao People's Democratic Republic,0.949,9.9,10.3,5.0,5.8
Timor-Leste,0.917,12.2,13.0,4.7,6.2
Nepal,0.942,12.9,12.8,4.2,6.2
Eswatini (Kingdom of),0.986,13.2,14.2,5.7,5.5
Cambodia,0.926,11.0,11.9,4.4,5.9
Zimbabwe,0.961,12.0,12.3,8.3,9.2
Angola,0.903,11.5,12.9,4.2,6.9
Myanmar,0.944,11.1,10.7,6.1,6.7
Syrian Arab Republic,0.825,9.1,9.2,4.6,5.6
Cameroon,0.885,12.4,13.8,4.8,7.5
Kenya,0.941,10.3,11.1,6.1,7.3
Congo,0.934,12.2,12.4,5.6,6.8
Zambia,0.965,10.9,11.0,7.2,7.2
Comoros,0.891,12.2,11.7,4.0,6.0
Papua New Guinea,0.931,9.8,10.9,4.1,5.4
Mauritania,0.890,9.6,9.2,4.6,5.3
Côte d'Ivoire,0.887,10.0,11.3,4.7,5.7
Tanzania (United Republic of),0.943,9.3,9.1,5.9,6.9
Pakistan,0.810,8.1,9.2,3.9,5.0
Togo,0.849,12.2,14.3,3.4,6.8
Haiti,0.898,9.0,10.4,4.6,6.8
Nigeria,0.863,9.6,10.8,6.1,8.2
Rwanda,0.954,11.2,11.2,4.0,4.9
Benin,0.880,9.9,11.6,3.3,5.4
Uganda,0.927,10.2,10.1,4.9,6.7
Lesotho,0.985,12.4,11.7,6.6,6.0
Malawi,0.968,12.8,12.5,4.1,4.7
Senegal,0.874,9.5,8.5,1.6,4.5
Sudan,0.870,7.7,8.1,3.4,4.2
Madagascar,0.956,10.2,10.1,4.9,5.3
Gambia,0.924,10.3,8.5,3.8,5.6
Ethiopia,0.921,9.8,9.6,2.2,4.2
Guinea-Bissau,0.867,10.0,11.2,2.4,4.9
Liberia,0.871,10.1,10.8,3.9,6.3
Congo (Democratic Republic of the),0.885,9.6,10.1,5.6,8.5
Afghanistan,0.681,7.7,12.7,2.3,3.4
Sierra Leone,0.893,9.6,9.9,3.5,5.8
Guinea,0.850,8.6,11.0,1.3,3.2
Yemen,0.496,7.7,10.5,2.9,5.1
Burkina Faso,0.903,9.1,9.2,1.6,2.7
Mozambique,0.922,9.8,10.7,2.4,4.1
Mali,0.887,6.8,7.9,2.4,2.2
Burundi,0.935,10.9,10.5,2.5,3.9
Central African Republic,0.810,6.7,9.4,3.1,5.6
Niger,0.835,6.3,7.6,1.7,2.8
Chad,0.770,6.6,9.5,1.5,3.7
South Sudan,0.843,4.5,6.6,4.8,6.2